Country,Cases,Deaths,Category,AsOf
Moldova,2,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Monaco,3,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Montenegro,2,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Morocco,3,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Netherlands,1209,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
New Caledonia,1,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
New Zealand,5,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Norway,87,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Panama,12,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Paraguay,1,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Peru,2015,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Philippines,4,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Poland,160,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Portugal,898,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Qatar,4,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Republic of the Congo,5,0,Has historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Romania,37,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Russia,2,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Saint Martin,1,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Saudi Arabia,8,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Serbia,31,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Singapore,16,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Slovakia,14,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Slovenia,46,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
South Africa,5,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
South Korea,2,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Sweden,177,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Switzerland,490,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Taiwan,3,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Thailand,7,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Turkey,1,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Ukraine,1,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
United Arab Emirates,16,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
United Kingdom,3552,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Uruguay,5,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Venezuela,3,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
